Groveham Rovers


Trener

Anthony Caldwell – England – 48

Foretrekker 4-3-3
Offensiv filosofi
Høyt balltempo
Elsket av supporterne
Spillere
Nr	Navn	Pos	Alder	Land	Rating
30	James Harrington	GK	31	England	87
13	Connor Byrne	GK	24	Irland	75
2	Tommy Tufanega	RB	27	England	84
3	Ryan Devlin	LB	26	Irland	83
25	Tim Thompson	CB	30	England	87
5	Scott McKenzie	CB	29	Skottland	85
22	Aaron Doyle	CB	22	Irland	76
28	Ethan Foster	LB/RB	21	England	74
6	Ben Cartwright	CM	29	England	86
8	Liam Fraser	CM	27	Skottland	84
10	Jamie Ashford	AM	26	England	88
16	Kieran O'Neill	DM	25	Irland	79
31	Nathan Brooks	CM	20	England	73
37	Umberto		AM	19	Portugal	89
7	Mason Thornton	RW	27	England	86
9	Scott Mitchell	ST	29	England	89
11	Callum Murray	LW	26	Skottland	85
24	Samuel Wanuatu	ST	22	Nigeria	88
